Prebuilt Roles,,,,Custom Roles
chronicle.dataAccessScopes.create,chronicle.dataTableRows.bulkReplace,chronicle.entities.summarizeFromQuery,,chronicle.dataTableRows.get
chronicle.dataAccessScopes.delete,chronicle.dataTableRows.bulkUpdate,chronicle.entityRiskScores.queryEntityRiskScores,,chronicle.dataTableRows.list
chronicle.dataAccessScopes.get,chronicle.dataTableRows.create,chronicle.errorNotificationConfigs.get,,chronicle.dataTableRows.update
chronicle.dataAccessScopes.list,chronicle.dataTableRows.delete,chronicle.errorNotificationConfigs.list,,chronicle.dataTables.bulkCreateDataTableAsync
chronicle.dataAccessScopes.permit,chronicle.dataTableRows.get,chronicle.events.batchGet,,chronicle.dataTables.create
chronicle.dataAccessScopes.update,chronicle.dataTableRows.list,chronicle.events.findUdmFieldValues,,chronicle.dataTables.delete
chronicle.dataExports.cancel,chronicle.dataTableRows.update,chronicle.events.get,,chronicle.dataTables.get
chronicle.dataExports.create,chronicle.dataTables.bulkCreateDataTableAsync,chronicle.events.queryProductSourceStats,,chronicle.dataTables.list
chronicle.dataExports.fetchLogTypesAvailableForExport,chronicle.dataTables.create,chronicle.events.searchRawLogs,,chronicle.dataTables.update
chronicle.dataExports.get,chronicle.dataTables.delete,chronicle.events.udmSearch,,chronicle.dataTaps.get
chronicle.dataTableOperationErrors.get,chronicle.dataTables.get,chronicle.events.validateQuery,,chronicle.dataTaps.list
chronicle.dataTableRows.asyncBulkCreate,chronicle.dataTables.list,chronicle.featuredContentNativeDashboards.get,,chronicle.enrichmentControls.get
chronicle.dataTableRows.asyncBulkReplace,chronicle.dataTables.update,chronicle.featuredContentNativeDashboards.list,,chronicle.enrichmentControls.list
chronicle.dataTableRows.asyncBulkUpdate,chronicle.dataTaps.create,chronicle.featuredContentRules.list,,chronicle.entities.batchCreate
chronicle.dataTableRows.bulkCreate,chronicle.dataTaps.delete,chronicle.featuredContentSearchQueries.get,,chronicle.entities.batchDelete
chronicle.dataTableRows.bulkGet,chronicle.dataTaps.get,chronicle.featuredContentSearchQueries.list,,chronicle.entities.batchValidate
chronicle.dataTableRows.bulkReplace,chronicle.dataTaps.list,chronicle.feedPacks.get,,chronicle.entities.create
chronicle.dataTableRows.bulkUpdate,chronicle.dataTaps.update,chronicle.feedPacks.list,,chronicle.entities.delete
chronicle.dataTableRows.create,chronicle.enrichmentControls.create,chronicle.findingsGraphs.exploreNode,,chronicle.entities.find
chronicle.dataTableRows.delete,chronicle.enrichmentControls.get,chronicle.findingsGraphs.initializeGraph,,chronicle.entities.findRelatedEntities
chronicle.dataTableRows.get,chronicle.enrichmentControls.list,chronicle.findingsRefinementDeployments.get,,chronicle.entities.get
chronicle.dataTableRows.list,chronicle.entities.batchCreate,chronicle.findingsRefinementDeployments.list,,chronicle.entities.import
chronicle.dataTableRows.update,chronicle.entities.batchDelete,chronicle.findingsRefinements.computeActivity,,chronicle.entities.list
chronicle.dataTables.bulkCreateDataTableAsync,chronicle.entities.batchValidate,chronicle.findingsRefinements.computeAllActivities,,chronicle.entities.modifyEntityRiskScore
chronicle.dataTables.create,chronicle.entities.create,chronicle.findingsRefinements.get,,chronicle.entities.queryEntityRiskScoreModifications
chronicle.dataTables.delete,chronicle.entities.delete,chronicle.findingsRefinements.list,,chronicle.entities.searchEntities
chronicle.dataTables.get,chronicle.entities.find,chronicle.findingsRefinements.test,,chronicle.entities.summarize
chronicle.dataTables.list,chronicle.entities.findRelatedEntities,chronicle.forwarders.generate,,chronicle.entities.summarizeFromQuery
chronicle.dataTables.update,chronicle.entities.get,chronicle.forwarders.get,,chronicle.entityRiskScores.queryEntityRiskScores
chronicle.dataTaps.create,chronicle.entities.import,chronicle.forwarders.list,,chronicle.errorNotificationConfigs.get
chronicle.dataTaps.delete,chronicle.entities.list,chronicle.globalDataAccessScopes.permit,,chronicle.errorNotificationConfigs.list
chronicle.dataTaps.get,chronicle.entities.modifyEntityRiskScore,chronicle.ingestionLogLabels.get,,chronicle.events.batchGet
chronicle.dataTaps.list,chronicle.entities.queryEntityRiskScoreModifications,chronicle.ingestionLogLabels.list,,chronicle.events.findUdmFieldValues
chronicle.dataTaps.update,chronicle.entities.searchEntities,chronicle.ingestionLogNamespaces.get,,chronicle.events.get
chronicle.enrichmentControls.create,chronicle.entities.summarize,chronicle.ingestionLogNamespaces.list,,chronicle.events.queryProductSourceStats
chronicle.enrichmentControls.delete,chronicle.entities.summarizeFromQuery,chronicle.instances.generateCollectionAgentAuth,,chronicle.events.searchRawLogs
chronicle.enrichmentControls.get,chronicle.entityRiskScores.queryEntityRiskScores,chronicle.instances.generateSoarAuthJwt,,chronicle.events.udmSearch
chronicle.enrichmentControls.list,chronicle.errorNotificationConfigs.get,chronicle.instances.get,,chronicle.events.validateQuery
chronicle.entities.batchCreate,chronicle.errorNotificationConfigs.list,chronicle.instances.logTypeClassifier,,chronicle.extensionValidationReports.get
chronicle.entities.batchDelete,chronicle.events.batchGet,chronicle.instances.report,,chronicle.extensionValidationReports.list
chronicle.entities.batchValidate,chronicle.events.findUdmFieldValues,chronicle.iocAssociations.batchGet,,chronicle.featuredContentNativeDashboards.get
chronicle.entities.create,chronicle.events.get,chronicle.iocAssociations.fetchRelatedIocAssociations,,chronicle.featuredContentNativeDashboards.install
chronicle.entities.delete,chronicle.events.import,chronicle.iocAssociations.fetchRelatedThreatCollections,,chronicle.featuredContentNativeDashboards.list
chronicle.entities.find,chronicle.events.queryProductSourceStats,chronicle.iocAssociations.get,,chronicle.featuredContentRules.list
chronicle.entities.findRelatedEntities,chronicle.events.searchRawLogs,chronicle.iocMatches.get,,chronicle.featuredContentSearchQueries.get
chronicle.entities.get,chronicle.events.udmSearch,chronicle.iocMatches.list,,chronicle.featuredContentSearchQueries.install
chronicle.entities.import,chronicle.events.validateQuery,chronicle.iocState.get,,chronicle.featuredContentSearchQueries.list
chronicle.entities.list,chronicle.featuredContentNativeDashboards.get,chronicle.iocs.batchGet,,chronicle.feedPacks.get
chronicle.entities.modifyEntityRiskScore,chronicle.featuredContentNativeDashboards.install,chronicle.iocs.findFirstAndLastSeen,,chronicle.feedPacks.list
chronicle.entities.queryEntityRiskScoreModifications,chronicle.featuredContentNativeDashboards.list,chronicle.iocs.get,,chronicle.feedServiceAccounts.fetch
chronicle.entities.searchEntities,chronicle.featuredContentRules.list,chronicle.iocs.searchCuratedDetectionsForIoc,,chronicle.feedSourceTypeSchemas.list
chronicle.entities.summarize,chronicle.featuredContentSearchQueries.get,chronicle.legacies.legacyBatchGetCases,,chronicle.feeds.get
chronicle.entities.summarizeFromQuery,chronicle.featuredContentSearchQueries.install,chronicle.legacies.legacyBatchGetCollections,,chronicle.feeds.list
